,Molecule ChEMBL ID,Smiles,Standard Value,Cat,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,CHEMBL1200371,CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1.O=C(O)CCC(=O)O,0.2706,0,11.254750015747039,-1.0764814814814814,11.254750015747039,0.2962962962962965,0.5421508428995061,361.39800000000014,338.21400000000006,361.16377083599997,140,0,0.30343248908825177,-0.48121892931530574,0.48121892931530574,0.30343248908825177,1.2307692307692308,1.8846153846153846,2.423076923076923,2.5999998600225787e-07,813.5860515281116,19.26722023457211,14.541457314272375,14.541457314272375,12.311769505687858,8.355680315398786,8.355680315398786,6.222595448306461,6.222595448306461,4.433342088897347,4.433342088897347,3.030599554782291,3.030599554782291,-2.87,570581.4077287188,19.45466768534645,8.482186779337441,4.82396478263537,149.93443590135666,26.24748939179713,0.0,0.0,5.907179729351506,0.0,11.938610575903699,14.383611552215466,0.0,0.0,0.0,0.0,50.07268954853704,28.202145247774475,12.841643245852019,24.596666341896878,28.748715237336263,0.0,10.30076712495354,5.733667477162185,38.14594894377801,7.04767198267719,35.01993218362728,0.0,0.0,11.050456081168516,0.0,0.0,0.0,46.13233642770897,22.43071761399566,0.0,40.87783303109231,18.19910120538483,0.0,10.902924932081056,0.0,145.51,11.938610575903699,14.383611552215466,0.0,18.748822975203524,11.605292320844956,30.165389800859085,11.257379486545457,6.06636706846161,19.18040611960041,10.30076712495354,15.946722266843596,0.0,0.0,33.98250511778785,20.26924792139078,9.65589561287478,-2.5207167002603503,6.156241260393045,2.6241453294280666,0.0,1.99934812505249,0.3888888888888889,26,6,8,1,0,1,1,1,2,4,5,8,5,0,0,0,3,1.2792999999999994,96.19490000000005,2,0,0,0,0,1,1,0,2,2,3,1,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CHEMBL2105345,CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1,0.157,0,11.989998122745583,-0.27381240317522737,11.989998122745583,0.04570601851851874,0.613650624467494,337.41600000000005,310.20000000000005,337.18892296399997,134,0,0.30975453072798187,-0.4928586764007944,0.4928586764007944,0.30975453072798187,1.0833333333333333,1.7916666666666667,2.375,2.693227894852695,540.2106994549121,17.94938298937633,14.963146542507438,14.963146542507438,11.548773815358466,8.28229600264885,8.28229600264885,5.237162192588242,5.237162192588242,3.5109676715805467,3.5109676715805467,2.1818861219121057,2.1818861219121057,-2.2399999999999998,175097.70176375308,19.805955882352944,10.518705744587201,6.101656184721819,143.2342220510678,19.110498592250625,0.0,18.105905631080727,0.0,5.907179729351506,5.969305287951849,9.589074368143644,0.0,0.0,0.0,12.990104268152233,37.964481650927475,13.08951281182515,20.137501128716462,23.79966322954379,11.876485017303356,0.0,4.899909730850478,0.0,33.61285484492389,33.41307428212852,23.762552697081826,0.0,11.49902366656781,9.473725907600098,0.0,11.49902366656781,0.0,50.18946903028235,20.7467589448697,0.0,32.75548471369488,18.19910120538483,0.0,0.0,0.0,65.07000000000001,0.0,9.589074368143644,0.0,24.90418860474228,31.19541844290588,11.984273114623004,7.109797541277533,23.09901093623531,20.771211599071872,0.0,14.210588861400147,15.926759837454142,0.0,25.35653267369478,0.0,0.7734930608045689,0.6160886262062881,5.202529053287981,0.9696657219292563,7.466846417779442,1.5214179421768708,0.5555555555555556,24,0,6,0,0,0,1,0,1,5,0,6,10,0,0,0,1,2.4381000000000004,91.37100000000007,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CHEMBL354541,O=C(NC1CCN(CCCCC2(C(=O)NCC(F)(F)F)c3ccccc3-c3ccccc32)CC1)c1ccccc1-c1ccc(C(F)(F)F)cc1,-0.295,0,13.716095707419717,-4.532205748920362,13.716095707419717,0.07731347647046682,0.12968890456043358,693.7320000000003,656.4360000000003,693.278996744,262,0,0.4159102198126123,-0.34919105610923407,0.4159102198126123,0.34919105610923407,0.72,1.28,1.86,1.0521911555935217,1783.260100878964,35.52008632231228,27.210412621385622,27.210412621385622,23.86497708629458,16.710074907459223,16.710074907459223,12.961528857513901,12.961528857513901,9.794725113436238,9.794725113436238,7.345487850095921,7.345487850095921,-4.639999999999999,123739545839.81424,35.195300530382994,14.303365783264244,7.4257550964872605,286.2409698016441,15.533486938863138,11.959746875309355,0.0,5.907179729351506,5.907179729351506,12.35259703488695,9.589074368143644,0.0,26.34249028604892,0.0,85.28359351292696,83.80785305318344,24.694805132670105,5.563451491696996,35.93156465419257,11.814359458703011,0.0,15.533486938863138,0.0,55.91353644806174,26.1790256236503,119.3156790621738,0.0,22.253805966787983,10.633577208012662,26.34249028604892,0.0,0.0,55.11143415979522,16.385826170912075,0.0,59.152451265489844,97.06187309538579,0.0,22.253805966787983,0.0,61.440000000000005,35.782975131244804,35.93156465419257,0.0,11.949020558499466,42.37364096679502,60.44163094437493,12.13273413692322,24.26546827384644,48.53093654769288,15.533486938863138,0.0,78.68858988557005,0.0,29.31327370502798,5.274589148021899,2.623632474973797,-0.9362518442741852,26.35263321400206,-5.8658291474309205,0.799362564109309,0.0,0.3333333333333333,50,2,5,1,1,2,4,0,4,3,2,11,10,0,1,1,6,8.382100000000005,179.38189999999955,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,2,0,0,0,1,0,0,0,0,6,0,2,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,CHEMBL4303354,CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O[C@H]2CC[C@H](N(C)C)[C@@H](C)O2)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1OC(C)=O,1.276,1,13.440349378303107,-1.4865663115291006,13.440349378303107,0.029280430191027662,0.19069761718670236,885.1019999999999,808.4939999999999,884.524569732,356,0,0.3094357187107655,-0.4622247538967268,0.4622247538967268,0.3094357187107655,0.9032258064516129,1.596774193548387,2.193548387096774,1.7273271689242589,1478.097358064869,46.05094832708924,38.86385112273335,38.86385112273335,29.162049698740248,22.172920609493083,22.172920609493083,18.38943851917266,18.38943851917266,12.675228378335367,12.675228378335367,9.403254795810772,9.403254795810772,-2.39,7871157562597.247,52.23663071881844,23.69273576871793,14.055268937488645,367.8030153454827,72.54570541449533,42.90995884961937,18.870080188005637,0.0,0.0,11.938610575903699,9.589074368143644,0.0,0.0,0.0,31.227817627026145,93.90765089026269,39.33784043889415,48.58354520179917,72.33496032093802,18.224771099033255,0.0,9.799819461700956,11.835812092322787,197.11035468083304,35.30048547198629,24.304080427335524,0.0,0.0,0.0,0.0,0.0,0.0,182.3431011397592,57.015378136415904,11.835812092322787,93.41191175831644,24.304080427335524,0.0,0.0,0.0,201.44999999999996,109.40915232768539,29.703193736737582,0.0,37.32617813183569,19.26246486877803,12.706982146055566,20.95727194065878,39.76646529527673,52.24689879207115,4.899909730850478,42.63176658420044,56.32816866870438,0.0,42.671929859102825,33.61320350411495,-1.4865663115291006,-2.2113630016948225,-0.5089688950323694,-1.8052180595460954,11.965828365661821,9.01631920355176,0.8444444444444444,62,3,17,0,4,4,0,0,0,17,3,17,12,0,3,3,4,2.8959000000000117,226.43339999999915,0,3,2,0,0,0,0,0,0,0,3,3,0,0,0,2,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CHEMBL1201012,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,-0.0113,0,15.479612150415718,-1.3539403292181067,15.479612150415718,0.04570572646082183,0.691028101051215,436.5200000000002,403.2560000000002,436.2261169959999,172,0,0.19275652607417457,-0.39277281661883695,0.39277281661883695,0.19275652607417457,1.2580645161290323,1.967741935483871,2.6451612903225805,1.60725505914236,868.130832972654,22.56011345338556,18.68947739731126,18.68947739731126,14.393466721857449,11.486473354816454,11.486473354816454,11.33279562167194,11.33279562167194,9.423721584368822,9.423721584368822,8.406289517790224,8.406289517790224,-1.1500000000000001,7509644.746158037,21.68296278437542,6.461052681348619,2.5763106847528303,181.71829842554067,19.68678069728151,12.77855736002321,22.954651856284162,0.0,0.0,0.0,9.589074368143644,4.39041504767482,0.0,0.0,13.847474399381248,74.34859413586939,11.83581209232279,12.207932775496605,33.66627011309997,11.566489892729878,0.0,0.0,28.58369907727774,89.56682704795374,6.606881964512918,11.64912463690315,0.0,0.0,0.0,4.39041504767482,0.0,0.0,58.15419678148538,19.06280027574374,28.58369907727774,59.79905691339255,11.64912463690315,0.0,0.0,0.0,93.06,52.98787798423259,19.802129157825057,4.39041504767482,29.957784707775126,31.256391021773304,0.0,6.076020106833881,13.847474399381248,13.847474399381248,0.0,9.473725907600098,27.931460142290767,0.0,25.190914370233923,21.31280412488104,-2.1892311376711167,-1.8993278274221634,0.0,0.8718953072824367,6.7814850204051105,0.0,0.8333333333333334,31,2,6,4,1,5,0,0,0,6,2,7,2,3,1,4,5,2.498700000000001,108.62260000000006,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CHEMBL998,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,0.2267,0,12.030945661347896,-0.21470047699214345,12.030945661347896,0.21470047699214345,0.7048857984659845,382.89100000000025,359.70700000000016,382.144805656,140,0,0.4092616965062634,-0.44970935889925173,0.44970935889925173,0.4092616965062634,1.1481481481481481,1.9259259259259258,2.7037037037037037,1.7553254108779224,896.9358326942499,18.802754140504845,15.50273732838046,16.258666274398916,13.169035095596021,9.538469695377792,9.916434168387019,6.977123376220907,7.413559156692892,5.374940955493929,5.610038058281667,4.05722930839606,4.2519295347709765,-2.329999999999999,2060941.7419680161,18.052915404577863,7.729953781795351,3.5865231460805265,164.35941045226315,9.636772684650527,0.0,0.0,0.0,0.0,6.093240070938415,4.9839785209472085,4.794537184071822,0.0,0.0,29.306778557225,67.49647937187048,29.88209422724882,12.300809959361379,9.53140013787187,23.267284491240197,0.0,9.883888251797686,0.0,32.60702369139466,19.696394776338067,69.50869922767117,0.0,0.0,0.0,4.794537184071822,0.0,11.600939890232516,35.67352309907417,17.578506199652068,0.0,42.14966291548208,42.1017834439904,5.022633313741326,5.573104530069267,0.0,42.43,0.0,4.794537184071822,0.0,6.093240070938415,19.696394776338067,36.39984780029383,27.83656353522952,4.899909730850478,25.25331490822692,18.19910120538483,21.321781364979774,5.151673566299287,6.26865352259176,18.573609269618466,0.7723571118425572,7.4627827754022755,0.0,10.346003663666602,5.2526315353539985,3.6167329996694964,0.0,0.36363636363636365,27,0,4,1,1,2,1,1,2,3,0,5,1,0,1,1,4,4.887800000000005,106.94800000000004,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,CHEMBL193,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],0.2063,0,12.340656651549509,-0.9696759259259264,12.340656651549509,0.1275925925925927,0.5055052971214055,346.33900000000006,328.19500000000005,346.11648629599995,132,0,0.33597830173148835,-0.4655800306723669,0.4655800306723669,0.33597830173148835,1.04,1.52,1.96,2.803490087611988,771.1110283918142,18.723250160202095,14.283454684231268,14.283454684231268,11.82780492029403,7.415124004249607,7.415124004249607,5.434451728861826,5.434451728861826,4.01543539399127,4.01543539399127,2.9639806125237675,2.9639806125237675,-3.1599999999999997,291739.89613473933,18.18259494971491,7.163418786222467,3.232043293699175,143.81370172517111,14.790514511606428,0.0,0.0,0.0,5.687386274683562,11.938610575903699,10.114318268765572,9.589074368143644,0.0,0.0,18.19910120538483,13.847474399381248,23.023897186270272,36.20702123767267,23.98611132456141,17.62599685058726,0.0,5.316788604006331,0.0,19.76538044554264,14.219595082555067,62.48352572055921,0.0,0.0,5.316788604006331,5.687386274683562,0.0,0.0,31.081516707276435,19.06280027574374,10.114318268765572,25.328831937239634,46.80575596009664,0.0,0.0,0.0,107.77000000000001,22.779827670882764,19.703392636909218,0.0,22.39704682651909,11.394078626111666,0.0,32.418696287939895,19.913841467842857,0.0,5.316788604006331,9.473725907600098,9.655559334845048,0.0,35.57659005731922,14.391040406903503,1.1918650793650811,-2.3269831821617526,5.96895667989418,0.0,3.288860544217687,2.4207777462836986,0.29411764705882354,25,1,8,0,1,1,1,0,1,7,1,8,4,0,0,0,2,2.1756,88.40510000000003,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,CHEMBL1451,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,0.1187,0,16.777430634290752,-2.232025882884017,16.777430634290752,0.013461435500125907,0.545907213602937,394.43900000000014,367.2230000000001,394.1791668039999,154,0,0.19231333677383564,-0.38971240182948785,0.38971240182948785,0.19231333677383564,1.25,1.9285714285714286,2.5714285714285716,1.8376918794672796,806.7175206902477,20.698306133819763,16.060301226196906,16.060301226196906,12.96323339420858,9.823183947290058,9.823183947290058,9.363901079600785,9.363901079600785,8.430020092241927,8.430020092241927,6.849398283806812,6.849398283806812,-1.41,1500075.6365228966,19.88698649368336,5.813749131185201,2.006131874526369,162.30107724907407,20.426109579362823,6.606881964512918,22.836300522459243,0.0,0.0,0.0,9.589074368143644,4.39041504767482,0.0,0.0,18.572861836593773,50.67696995122381,16.747886984954953,12.207932775496605,34.40559899518128,11.566489892729878,0.0,0.0,22.665793031116344,63.00850429631125,6.606881964512918,23.80116485057091,0.0,0.0,0.0,4.39041504767482,0.0,0.0,62.07722484183158,9.589074368143644,22.665793031116344,39.53076089108529,23.80116485057091,0.0,0.0,0.0,115.06000000000002,58.53366334722017,30.015183947506465,4.39041504767482,18.624888192216957,18.414747775921285,0.0,18.228060320501644,13.847474399381248,0.0,0.0,0.0,16.777430634290752,0.0,24.187318685434548,42.102260296423474,-6.118803907365415,-2.379245483527815,0.0,1.9297615388492904,2.334611569228497,0.0,0.7142857142857143,28,4,6,4,0,4,0,0,0,6,4,7,2,3,0,3,4,0.6204999999999998,96.78720000000003,0,4,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CHEMBL1697,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1.Cl,0.7261,0,13.555265810027715,-0.9162433862433865,13.555265810027715,0.0,0.6238874206911541,450.9880000000001,423.77200000000016,450.13800602399994,162,0,0.30296730597444044,-0.4967682073380949,0.4967682073380949,0.30296730597444044,1.1333333333333333,1.8,2.4,3.203329436638285e-06,875.696184009559,20.965890847321376,17.53163318805245,19.164626349907905,13.901085903164901,9.433770932706608,10.313423743961502,7.102520993722727,8.285917447117116,4.702468039214365,6.074916214764001,3.238277154034226,4.556752117176849,-2.2199999999999998,3020643.091876138,24.053141577257392,10.702419153144385,5.47323280486137,187.47809259342057,19.273545369301054,5.749511833283905,6.103966387748303,0.0,5.907179729351506,5.969305287951849,9.589074368143644,0.0,0.0,24.16891811057109,24.26546827384644,43.92426373089781,24.90873348703355,18.04712184594327,19.06280027574374,41.732789402558005,0.0,4.899909730850478,0.0,23.17312509293888,39.19456404930754,54.09438803938988,0.0,5.749511833283905,9.636772684650527,5.687386274683562,5.749511833283905,24.16891811057109,57.17501545435919,14.325937321943691,0.0,17.737126721369794,53.42642002321065,0.0,0.0,0.0,59.080000000000005,12.073271675700152,9.589074368143644,0.0,23.564150920513654,13.08951281182515,21.89583307518224,6.923737199690624,23.771592221519125,67.52619024389773,0.0,9.473725907600098,10.828902890675838,1.54208734882842,30.158230889080457,-0.3585071806500377,1.7473855190224241,0.052814670748924986,15.356779998066974,-0.9162433862433865,2.548077373881396,5.540471876588988,0.36363636363636365,30,0,6,0,1,1,2,0,2,6,0,8,6,0,0,0,3,3.7903000000000024,121.74300000000004,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,CHEMBL786,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,-0.1208,0,10.315555555555555,-2.7384259259259256,10.315555555555555,0.692414393800577,0.2165909283482016,563.6470000000003,526.3510000000005,563.2519171439999,218,0,0.3364194912829884,-0.49226449447092097,0.49226449447092097,0.3364194912829884,0.7317073170731707,1.1951219512195121,1.6097560975609757,3.830768928643971e-07,1286.5442038405215,30.415638315627206,23.487498813942736,23.487498813942736,19.462251959848466,13.07786200778396,13.07786200778396,9.593040218492266,9.593040218492266,6.07570293366278,6.07570293366278,4.06249743461879,4.06249743461879,-4.47,529267048.4916345,32.74032290430202,15.953944586550074,10.55087515417898,239.50588946314804,30.062882264013346,12.356393797796823,5.601050810983688,0.0,0.0,17.90791586385555,9.589074368143644,4.794537184071822,0.0,0.0,79.72014202122996,60.48546326043312,6.544756405912575,12.841643245852019,39.546584085378335,29.05412492399408,0.0,4.899909730850478,0.0,31.787252879452343,27.246982335779872,101.61949343355356,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,0.0,76.08196832083242,14.383611552215466,0.0,42.876556543559644,84.92913895846256,0.0,11.146209060138535,0.0,144.6,36.350609920691255,14.383611552215466,0.0,0.0,6.606881964512918,18.71508986212249,27.83656353522952,0.0,0.0,110.84812985435806,25.162972533162872,5.87098820026174,0.0,32.60776767928373,33.81098922902494,3.630761200179492,-4.106137723607961,29.820595624675086,-1.3208395254336818,3.8262552088248265,4.109620106791824,0.28125,41,4,9,0,0,0,3,0,3,6,4,9,13,0,0,0,3,4.747600000000002,156.6731999999998,3,1,0,0,0,0,0,0,3,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
